id,name,field,founded,type,role_in_network,connected_people,key_places,research_status,priority,open_question,qc_flag,links,source_url
ORG-REL-001,Manchester Literary and Philosophical Society,nat,1781; revitalised c.1830,Learned society,"Lectures and networks linking science, civic culture and industry. The original workbook also describes a revitalisation around 1830 and lectures/forums on science, politics and culture.",Leo H. Grindon; natural-history collectors,Manchester,Existing database,High,Add precise memberships and talks from natural-history figures.,Merged corresponding original-organisation row,2,https://www.manlitphil.ac.uk/
ORG-REL-002,Manchester Mechanics' Institute,nat,1824,Adult education,Self-education and lectures; a bridge between artisan learning and formal institutions.,John Horsefield; Leo H. Grindon,Princess Street,Existing database,High,"Check attendance, lecture programmes and access rules.",,3,https://historicengland.org.uk/listing/the-list/list-entry/1406283
ORG-NH-001,Manchester Society for the Promotion of Natural History,nat,1821,Natural-history society / museum precursor,Formed to display John Leigh Philips's and other private collections; foundational to Manchester Museum.,John Leigh Philips,Manchester; Peter Street,Researched addition,Essential,"Identify founders, subscribers, donors and collection transfers.",,3,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
ORG-NH-002,Manchester Natural History Society,nat,19th century - verify formal naming,Natural-history society,Successor or related name associated with the Peter Street museum and collections later transferred to Owens College.,"Collectors, donors and museum officers",Peter Street; Owens College,Needs checking,Essential,"Clarify formal naming, legal continuity and dates relative to the 1821 society.",,4,https://archiveshub.jisc.ac.uk/data/gb133-mma
ORG-NH-003,Prestwich Botanical Society,nat,1820,Working-class botanical society,"Pub-based specimen identification, oral teaching and pooled purchase of books and herbaria.",John Horsefield; Richard Buxton; George Hulme,Prestwich; Whitefield,Researched addition,Essential,"Capture members, meeting places, books, rules and subscription practices.",,8,https://historicengland.org.uk/listing/the-list/list-entry/1406283
ORG-NH-004,United Lancashire botanical societies,nat,By 1830,Federated / rotating network,Regional meetings linking botanical groups around north Manchester and Lancashire.,John Horsefield; artisan botanists,Prestwich; Eccles; Ashton; Oldham; Middleton and others,Needs checking,Essential,"Determine whether this had a formal name, minutes or membership list.",,4,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html
ORG-NH-005,Manchester Field-Naturalists' Society,nat,1860,Field naturalists' society,Organised excursions and adult natural-history learning; marks the increasing institutionalisation of field science.,Leo H. Grindon; Joseph Sidebotham,Manchester and regional excursion sites,Researched addition,Essential,"Add officers, membership, annual reports and excursion routes.",,9,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog
ORG-NH-006,Manchester Microscopical Society,nat,1858; refounded 1880,Microscopical society,"Connected specimen study, instrument use, artisan participation and professional science.",Joseph Sidebotham; Benjamin Carrington; Thomas Brittain,Manchester,Researched addition,High,Treat the 1858 and 1880 bodies carefully; confirm continuity and memberships.,,5,https://www.manchestermicroscopical.org.uk/mmshist.html
ORG-NH-007,Owens College / Manchester Museum natural-history structures,nat,1851; museum transfer later,College and museum,Absorbed and institutionalised collections assembled by local societies and private collectors.,Museum staff; donors; collectors; William Crawford Williamson,Oxford Road,Researched addition,Essential,"Separate college departments, museum governance and the public opening timeline.",,6,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/
ORG-NH-008,Manchester Entomological Society,nat,1902,Entomological society,Important post-Victorian continuation of Manchester amateur entomology and museum contribution.,Harry Britten and later members,Manchester,Researched addition,High,Retain with a post-Victorian scope flag rather than forcing it into the Victorian period.,,2,https://www.northwestinvertebrates.org.uk/document/manchester-entomological-society-annual-reports-proceedings-and-transactions-1904-1963-vols-1-to-61/
