id,name,kind,field,gender,birth,death,dates_original,date_qc,role,category,specialism,background,knowledge_role,decades_active,gm_areas,collections,destination,politics,religion,building,note,relationships,record_type,source_id,merged_from,merge_note,research_status,priority,open_question,qc_flag,active_from,active_to,active_source,links,link
200103,Absalom Watkin,record,press,M,1787,1861,1787–1861,Parsed from source,Parliamentary Reformer,Politics,,,,1820s–1860s,Manchester,,,Liberal,Unitarian,Manchester Guardian HQ,Member of the Little Circle; supported parliamentary reform; financial backer of the Manchester Guardian .,Married,Person,200103,200015,Duplicate Review DUP-003. Two records for Absalom Watkin; the workbook found no unique fields on 200015.,Core entry,Existing,,DUP-003: Keeper for duplicate group; Richer Absalom Watkin record.,1820,1869,workbook,3,https://watkinsociety.org.uk/absalom-watkin.html
200067,Agnes Foster,record,reform,F,,,Unknown,Unknown,Salvationist,Co-Founder of the Jamacian Salvation Army but lived in Manchester,,,,"1850, 60, 70, 80",Eccles,,,,,,Became a soldier in the Eccles corps,,Person,200067,,,Core entry,Existing,,,1850,1889,workbook,1,https://www.africansinyorkshireproject.com/agnes-foster.html
GH-POCHIN,Agnes Pochin,record,suff,,1825,1908,1825-1908,,,,,,,,,,,,,,"Writer and campaigner who argued for women's suffrage in print before the Manchester society existed, and spoke at its first public meeting in 1868.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1850,1908,researched,2,https://en.wikipedia.org/wiki/Agnes_Pochin
200045,Alfred Waterhouse,record,civic,M,1830,1905,1830–1905,Parsed from source,Architect,Town hall,,,,,,,,,,,,,Person,200045,,,Core entry,Existing,,FIRST NAME MISSING,1855,1905,inferred,3,https://archive.org/details/alfredwaterhouse0000cunn
200073,Alice Cooke,record,civic,F,1867,1940,1867–1940,Parsed from source,Academic,Catalogued Enriqueta collection,,,,"1880, 90",,,,,,,,,Person,200073,,,Core entry,Existing,,,1880,1899,workbook,1,https://specialcollections-blog.lib.cam.ac.uk/?p=14810
GH-ACLOUGH,Anne Jemima Clough,record,suff,,1820,1892,1820-1892,,,,,,,,,,,,,,"The first principal of Newnham College, and before that the organiser of the North of England Council for Promoting the Higher Education of Women, which ran the lecture schemes Manchester's schoolmistresses built on.",,"Named in the workbook, researched into a record here",,,,Researched for this,High,,,1845,1892,researched,1,https://en.wikipedia.org/wiki/Anne_Clough
GH-ROBERTSON,Anne Robertson,ghost,suff,,,,,,,,,,,,,,,,,,"Spoke at the first public meeting for women's suffrage in Manchester, in 1868, and then vanishes. Who she was is an open question.",,"Named in the workbook, no record of its own",,,,Needs checking,Investigate,,,1868,1868,estimated,1,https://en.wikipedia.org/wiki/Manchester_Society_for_Women%27s_Suffrage
200074,Annie Horniman,record,arts,F,1860,1937,1860–1937,Parsed from source,Theatre Patron,Founded and managed the Gaiety Theatre,,,,"1880, 90, 1900",Manchester,,,,,,Close friends with W.B Yeats,,Person,200074,,,Core entry,Existing,,,1880,1909,workbook,1,https://www.horniman.ac.uk/story/the-thoroughly-modern-annie-horniman/
200079,Annie Kenney,record,suff,F,1879,1953,1879–1953,Parsed from source,Suffragette,Working-class socialist militant,,,,1900s,"Oldham, Manchester",,,,,,Only working-class woman in senior leadership position in WSPU,,Person,200079,,,Core entry,Existing,,,1900,1909,workbook,1,https://www.wcml.org.uk/our-collections/activists/annie-kenney/
200108,Archibald Prentice,record,press,M,1792,1857,1792–1857,Parsed from source,"Editor, Manchester Times",Journalism,,,,1820s–1850s,Manchester,,,Radical,Unitarian,Manchester Guardian HQ,Member of the Little Circle; advocated for radical reforms; financial backer of the Manchester Guardian .,Married,Person,200108,,,Core entry,Existing,,,1820,1859,workbook,3,https://pure.manchester.ac.uk/ws/portalfiles/portal/86863970/FULL_TEXT.PDF
