# Enough geography to know where you are. Drawn by hand from coordinates rather than
# fetched from a tile server, because the published page cannot load external images.
# It is a sketch: the courses are approximate and the district points are just labels.
# kind|name|points as lat,lon lat,lon ...
river|River Irwell|53.5460,-2.3300 53.5250,-2.2950 53.5100,-2.2900 53.4950,-2.2760 53.4870,-2.2680 53.4840,-2.2570 53.4790,-2.2530 53.4740,-2.2570 53.4700,-2.2740 53.4680,-2.2900
river|River Irk|53.5150,-2.1900 53.5050,-2.2100 53.4950,-2.2300 53.4870,-2.2420
river|River Medlock|53.4790,-2.1700 53.4750,-2.1950 53.4720,-2.2200 53.4720,-2.2400 53.4750,-2.2500 53.4760,-2.2545
river|River Mersey|53.4100,-2.4000 53.3950,-2.3400 53.3900,-2.2800 53.3900,-2.2200
canal|Manchester Ship Canal|53.4680,-2.2900 53.4720,-2.3300 53.4660,-2.3900 53.4500,-2.4400 53.4200,-2.5200
canal|Bridgewater Canal|53.4752,-2.2528 53.4680,-2.2800 53.4560,-2.3060 53.4470,-2.3080 53.4300,-2.3260 53.4100,-2.3480
canal|Bridgewater Canal, Worsley branch|53.4470,-2.3080 53.4620,-2.3300 53.4780,-2.3600 53.5010,-2.3810
canal|Rochdale Canal|53.4752,-2.2528 53.4760,-2.2400 53.4790,-2.2330 53.4820,-2.2280 53.4890,-2.2100 53.5100,-2.1700 53.5500,-2.1500
canal|Ashton Canal|53.4820,-2.2280 53.4830,-2.2100 53.4830,-2.1700 53.4870,-2.1300 53.4900,-2.1000
district|Manchester|53.4808,-2.2426
district|Salford|53.4860,-2.2930
district|Ancoats|53.4845,-2.2210
district|Hulme|53.4680,-2.2570
district|Chorlton-on-Medlock|53.4670,-2.2330
district|Old Trafford|53.4610,-2.2880
district|Stretford|53.4450,-2.3090
district|Eccles|53.4830,-2.3350
district|Prestwich|53.5360,-2.2810
district|Whitefield|53.5520,-2.2990
district|Middleton|53.5490,-2.1870
district|Harpurhey|53.5040,-2.2130
district|Oldham|53.5410,-2.1120
district|Ashton-under-Lyne|53.4900,-2.0970
district|Bury|53.5930,-2.2960
district|Stockport|53.4080,-2.1580
district|Altrincham|53.3870,-2.3480
district|Sale|53.4240,-2.3320
