# Headings this collection already sorts its people under, turned into nodes so the
# grouping is something you can see and argue with. A person joins a group when the
# phrase appears in their category, so someone filed under "Anti Slavery, Free
# Trade/Liberals" joins both. The description is what a visitor reads.
# Artisan botany is deliberately absent: those people are already joined by the
# societies they belonged to, and a second hub would only thicken what is there.
# category phrase|id|name|field|description
Anti Slavery|COL-011|Anti-slavery campaigning|reform|Manchester's abolitionists: Quakers and Unitarians who petitioned Parliament, lectured on platforms across the north, and boycotted slave-grown sugar and cotton. The town that spun slave-grown cotton also produced some of the movement's most persistent campaigners, and several families here appear on both sides of that.
Anti-slavery|COL-011|||
Pro slavery|COL-012|Pro-slavery interests|trade|Merchants, consuls and manufacturers whose trade ran on slave-grown cotton, and who worked against the Union blockade during the American Civil War. The collection records them as plainly as it records the abolitionists.
Free Trade/Liberals|COL-013|Free trade and Liberalism|reform|The politics that came out of the Anti-Corn Law League: free trade, nonconformity, and the Liberal reform that made Manchester a byword for a whole school of political economy.
Free Trade|COL-013|||
Palmerstonians/conservatives|COL-014|Palmerstonian conservatism|civic|The other half of Manchester's politics. MPs and merchants of the Palmerstonian and Conservative interest, for whom being local and charitable was the recognised route to influence - as one of them put it in his own record.
Charitable work, status and local power|COL-015|Charitable work, status and local power|civic|Manufacturers and MPs who turned commercial wealth into civic standing: subscription lists, parks, institutes, infirmary committees and statues. Following the money here is one way of answering how collections and institutions got built.
Journalism|COL-016|Journalism|press|The people who wrote, edited and owned Manchester's newspapers.
Journalist|COL-016|||
Politics|COL-017|Elected politics and local power|civic|Manchester's public offices: the MPs it returned after 1832, its mayors, its town clerk, and the corporation that bought the manorial rights and then built the town hall.
Industry|COL-018|Industry and manufacture|trade|The mills, engineering works and warehouses that paid for everything else here, and the men who ran them.
Disability|COL-019|Provision for blind and disabled people|civic|Manchester's institutions for blind, deaf and disabled people, and the philanthropists who endowed them.
Museum collections|COL-020|Museum collections|nat|People whose private collections ended up in a public museum - the point at which a cabinet in a back room becomes a civic asset.
Manchester Royal Jubilee Exhibition|COL-021|Royal Jubilee Exhibition, 1887|arts|The exhibition staged at Old Trafford for Victoria's golden jubilee, one of the great Victorian displays of Manchester's manufactures, art and machinery.
Circus|COL-022|Circus and popular performance|arts|Manchester's popular stage: circus proprietors, acrobats and performers who drew crowds the learned societies never reached, and several of whom were the first non-white people in Britain to run or headline their own shows.
Performing Arts|COL-022|||
Socialism|COL-023|Socialism and the labour movement|reform|The Independent Labour Party, the trade unions and the socialist politics that ran alongside - and often through - Manchester's suffrage campaigns.
