# People — transcribed from the cleaned workbook's People sheet, in its own row order
# (that sheet is sorted by ROLE, which is what pins the PDF's column-blocks together).
# id|name|domain|gender|birth|death|datesOrig|dateQc|role|category|relationships|spouse|decades|areas|note|link
# dateQc: P parsed from source · U unknown · A approximate · V various/group record · E death year expanded
# domain is assigned here, not in the workbook — see build.py.
200066|Sarah Parker Remond|reform|F|1826|1894|1826–1894|Parsed from source|Abolitionist & Physician|African-American Abolitionist who campaigned in Manchester|||1850, 60|Manchester|Delivered speeches in Manchester Athenaeum|https://manchesterartgallery.org/news/sarah-parker-remond/
200073|Alice Cooke|civic|F|1867|1940|1867–1940|Parsed from source|Academic|Catalogued Enriqueta collection||https://en.wikipedia.org/wiki/Alice_Margaret_Cooke|1880, 90|||https://specialcollections-blog.lib.cam.ac.uk/?p=14810
200071|Miss Lala|arts|F|1858||1858–Unknown|Unknown|Acrobat|Mixed-race performer in travelling circus|||1870, 80|Manchester|Frequently performed in Gaiety Theatre, Manchester|https://via.library.depaul.edu/cgi/viewcontent.cgi?article=1243&context=etd
200081|Mary Burns|reform|F|1821|1863|1821–1863|Parsed from source|Activist|Introduced Engels to Manchester|||1840s, 50s, 60s|||https://en.wikipedia.org/wiki/Mary_Burns
200072|Edward Potts|civic|M|1839|1909|1839–1909|Parsed from source|Architect||2,3,7||1870, 80, 90|Oldham, Eccles/Salford|Design and builder of multiple mills esp in Oldham|https://en.wikipedia.org/wiki/Edward_Potts_(architect)
200045|Waterhouse|civic|M|1830|1905|1830–1905|Parsed from source|Architect|Town hall||||||https://archive.org/details/alfredwaterhouse0000cunn
200022|Mary Corkling|arts|F|1850|1928|1850–1928|Parsed from source|Artist, food campaigner|||||||https://en.wikipedia.org/wiki/List_of_people_from_Manchester
200039|Marie Stopes|reform|F|1880|1958|1880–1958|Parsed from source|Birth control|Studied at Manchester Uni||||Manchester||https://en.wikipedia.org/wiki/Marie_Stopes
200091|Catherine Anne Cobden|reform|F|1815|1877|1815–1877|Parsed from source|Campaigner|Free Trade, Women's Education|Wife of Richard Cobden; supported education and published her husband’s letters posthumously|||||https://www.oxforddnb.com/display/10.1093/ref%3Aodnb/9780198614128.001.0001/odnb-9780198614128-e-56224
200004|Founder?|reform|M|||Unknown|Unknown|Campaigner|Anti Slavery|||||Society for Effecting the Abolition of Slavery|https://en.wikipedia.org/wiki/Society_for_Effecting_the_Abolition_of_the_Slave_Trade
200005|Granville Sharpe|reform|M|1735|1813|1735–1813|Parsed from source|Campaigner|Anti Slavery|Unmarried|||||https://www.npg.org.uk/collections/search/person/mp04066/granville-sharp
200002|Greg family|trade|M|||Various|Various / group record|Campaigner|Anti Slavery||||||https://www.nationaltrust.org.uk/visit/cheshire-greater-manchester/quarry-bank/history-of-quarry-bank
200012|John Bright|reform|M|1811|1889|1811–1889|Parsed from source|Campaigner|Free Trade/Liberals|Husband of 1) Elizabeth Priestman 2) Margaret Elizabeth Leatham||||statues in Albert sq|https://en.wikipedia.org/wiki/John_Bright
200003|Lees family|trade|M|||Various|Various / group record|Campaigner|Anti Slavery|||||stuff went to Manchester Art Gallery and Whitworth|https://manchesterartgallery.org/collections/
200006|Thomas Clarkson|reform|M|1760|1846|1760–1846|Parsed from source|Campaigner|Anti Slavery|Husband of Catherine Buck|||||https://en.wikipedia.org/wiki/Thomas_Clarkson
200110|Russell Scott|press|M|1801|1880|1801–1880|Parsed from source|Coal Merchant, Philanthropist|Industry|Married|Isabella Civil Prestwich|1820s–1880s|Manchester|Brother-in-law to John Edward Taylor; invested in the Manchester Guardian; became proprietor after Taylor's death .|https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
200061|Harry Stokes|civic|F/M|1799|1859|c.1799–1859|Approximate|Constable|Assigned female at birth but lived as a man|||1830, 40, 50|Salford, Manchester|Owned a bar on Quay Street|https://wearewarpandweft.wordpress.com/harry-stokes-a-female-husband-in-manchester/
200097|Sophia Russell Taylor|press|F|1793|1866|1793–1866 (approx.)|Approximate|Cultural Hostess|Literary, Civic|Wife of John Edward Taylor; hosted cultural salons in Manchester|||||https://archiveshub.jisc.ac.uk/manchesteruniversity/archives/afa7c1dc-c9cc-3fd1-a836-771374d44cae?component=19213714-9425-3297-8800-f9af37bf20d6
200028|Hugh Hornby Birley|trade|M|1778|1845|1778–1845|Parsed from source|Deaf institute|Charitable work, status and local power|||||mill owners Oxford road/River Medl, ockotton manufacturer,|https://en.wikipedia.org/wiki/Hugh_Hornby_Birley
200106|William Cowdroy Jr.|press|M|1775|1831|1775–1831|Parsed from source|Editor, Manchester Gazette|Journalism|Married|Unknown|1820s–1830s|Manchester|Member of the Little Circle; contributed to the founding of the Manchester Guardian .|https://www.theguardian.com/gnm-archive/2016/apr/01/the-manchester-guardian-agreement-gnm-archive-teaching-resource-april-2016
200108|Archibald Prentice|press|M|1792|1857|1792–1857|Parsed from source|Editor, Manchester Times|Journalism|Married|Unknown|1820s–1850s|Manchester|Member of the Little Circle; advocated for radical reforms; financial backer of the Manchester Guardian .|https://pure.manchester.ac.uk/ws/portalfiles/portal/86863970/FULL_TEXT.PDF
200111|John Edward Taylor II|press|M|1830|1905|1830–1905|Parsed from source|Editor, Owner|Journalism|Married|Unknown|1850s–1900s|Manchester|Son of John Edward Taylor; became co-owner in 1852 and sole owner in 1856; expanded the newspaper's reach .|https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
200063|Pablo Fanque|arts|M|1810|1871|1810–1871|Parsed from source|Equestrian & Circus Proprietor|First recorded non-white British circus owner||Susannah Marlaw|1840, 50, 60|Stockport, Ashton-under- Lyne|Inspired a song by the Beetles|https://100greatblackbritons.com/bios/Pablo_Fanque.htm
200050|Kennedy|trade|M|||Various|Various / group record|Factory owners, Ancoats|||||||https://en.wikipedia.org/wiki/McConnel_%26_Kennedy_Mills
200049|McConnel|trade|M|||Various|Various / group record|Factory owners, Ancoats|||||||https://rylandscollections.com/2023/09/18/mcconnel-and-kennedy/
200048|Murray brothers|trade|M|||Unknown|Unknown|Factory owners, Ancoats|||||||https://en.wikipedia.org/wiki/Murrays%27_Mills
200101|Sir George Philips|press|M|1766|1847|1766–1847|Parsed from source|Financier, MP|Politics|Married|Sarah Anne Philips|1820s–1840s|Manchester|West India merchant; co-owned the Success sugar plantation in Hanover, Jamaica, which utilized enslaved labor. A wealthy textile industrialist, politician, West India merchant and enslaver, Philips was the Manchester Guardian backer mostly deeply linked with slavery. From about 1805 he was a partner in Boddington, Sharp and Philips, which owned the Success estate in Hanover, Jamaica. In 1835, Philips unsuccessfully attempted to claim compensation from the British government for 108 enslaved people on the estate, though his business partner made a successful claim. Philips’ Jamaica plantation, his intimate involvement with the Manchester cotton industry, US interests, and inherited interests in the textile industry, all demonstrate multiple links to transatlantic slavery.|https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
200104|Thomas Potter|press|M|1774|1845|1774–1845|Parsed from source|First Mayor of Manchester|Politics|Married|Unknown|1820s–1840s|Manchester|Member of the Little Circle; early supporter and financier of the Manchester Guardian . The brother of Richard Potter, Thomas was the first mayor of Manchester, serving from 1838 to 1840. In partnership with his brother, Thomas was connected to transatlantic slavery through his extensive involvement in the Manchester cotton and textile industry. His wife’s family, the Bayleys, also had links to slavery.|https://www.theguardian.com/the-scott-trust/ng-interactive/2023/mar/28/the-scott-trust-legacies-of-enslavement-report
200075|Arthur Wharton|arts|F|1865|1930|1865–1930|Parsed from source|Footballer|First black professional footballer|||1880, 90, 1900s|Stockport, Ashton-under- Lyne|Blue plaque in Tameside|http://www.bbc.co.uk/tyne/roots/2003/10/arthur_wharton.shtml
200041|James Groves|trade|M|||Unknown|Unknown|Founder|Salford Lads Club, Groves and Whitnall Breweries||||Salford||https://salfordladsclub.org.uk/about/history/
200013|John Edward Taylor|press|M|1791|1844|1791–1844|Parsed from source|Founder|Free Trade/Liberals|Husband of Sophia Russell Taylor (née Scott)||||Manchester Guardian|https://www.theguardian.com/news/ng-interactive/2023/mar/28/the-cotton-thread-guardian-founders-slavery-john-edward-taylor
200042|William Groves|trade|M|||Unknown|Unknown|Founder|Salford Lads Club, Groves and Whitnall Breweries||||Salford||https://salfordladsclub.org.uk/about/history/
200100|John Edward Taylor|press|M|1791|1844|1791–1844|Parsed from source|Founder, Editor|Journalism|Married; husband of Sophia Russell Taylor (née Scott)|Sophia Russell Scott|1820s–1840s|Manchester|Cotton merchant; co-founded Shuttleworth, Taylor & Co., which imported cotton produced by enslaved people from the Sea Islands region of the U.S. .|https://www.theguardian.com/news/ng-interactive/2023/mar/28/the-cotton-thread-guardian-founders-slavery-john-edward-taylor
200040|Enriqueta Augustina Rylands|civic|F|1843|1908|1843–1908|Parsed from source|Founder, Patron|Religion, Libraries||Founded John Rylands Library in memory of her husband; major patron of education||||https://en.wikipedia.org/wiki/Enriqueta_Rylands
200095|Mary Ellen Caminada|civic|F|||Dates not publicly known|Unknown|Homemaker, Supporter|Civic Life|Wife of Jerome Caminada, Manchester detective; raised family during his public career|||||https://manchesterarchiveplus.wordpress.com/2014/03/12/investigating-jerome-caminada-manchesters-sherlock-holmes/
200102|John Shuttleworth|press|M|1786|1864|1786–1864|Parsed from source|Industrialist, Reformer|Industry|Married|Unknown|1820s–1860s|Manchester|Partnered in Shuttleworth, Taylor & Co.; involved in cotton manufacturing linked to slavery .|https://pure.manchester.ac.uk/ws/portalfiles/portal/86863970/FULL_TEXT.PDF
200023|Joseph Whitworth|trade|M|1803|1887|1803–1887|Parsed from source|Inventor||Husband of 1) Frances Anker 2) Mary Louisa Orrell|||||https://en.wikipedia.org/wiki/Joseph_Whitworth
200069|Rosa Leo Grindon|nat|F|1820|1900|1820–1900|Parsed from source|Lecturer|Wrote 'Shakespeare plays from a women's point of view'|wife of Leo H. Grindon||1860, 70, 80|Manchester|née Elverson. Donated large stained-glass window to Central Library in her husbands memory|https://adeleemm.com/2018/09/07/rosa-leo-grindon-another-forgotten-suffragist/
200051|J. Arnout|arts|M|||Unknown|Unknown|Lithograph of MRI 1857|||||||https://archive.org/details/gri_33125009489408
200109|John Potter|press|M|1773|1838|1773–1838|Parsed from source|Merchant|Commerce|Married|Unknown|1820s–1830s|Manchester|Host of the Little Circle meetings; father to Thomas and Richard Potter; supported the founding of the Manchester Guardian .|https://pure.manchester.ac.uk/ws/portalfiles/portal/86863970/FULL_TEXT.PDF
200024|John Rylands|trade|M|1801|1888|1801–1888|Parsed from source|Merchant|Manchester Royal Jubilee Exhibition|Husband of 1) Dinah Raby 2) Martha Clegg 3) Enriqueta Augustina Tennant|||Manchester, Trafford||https://en.wikipedia.org/wiki/John_Rylands
200018|J. A. Turner|civic|M|||Unknown|Unknown|MP|Palmerstonians/conservatives||||||https://en.wikipedia.org/wiki/James_Aspinall_Turner
200025|James Williamson|civic|M|1842|1930|1842–1930|Parsed from source|MP|Manchester Royal Jubilee Exhibition|Husband of 1) Margaret Gatey 2) Jessie Hulme 3) Florence Whalley|||||https://en.wikipedia.org/wiki/Sir_James_Williamson,_1st_Baronet
200016|Thom & Richard Potter major; MP|press|M|1774|1845|1774–1845|Parsed from source|MP|Free Trade/Liberals||||||https://archiveshub.jisc.ac.uk/data/gb97-collmisc0146
200105|Richard Potter|press|M|1778|1842|1778–1842|Parsed from source|MP for Wigan|Politics|Married|Unknown|1820s–1840s|Manchester|Member of the Little Circle; early supporter and financier of the Manchester Guardian . Nicknamed ‘Radical Dick’, Richard was the son of farmer and draper, John Potter. Richard Potter was connected to transatlantic slavery as a manufacturer of, and dealer in, cotton goods, and owner of a Manchester textile warehouse.|https://archiveshub.jisc.ac.uk/data/gb97-collmisc0146
200020|Benjamin Heywood|trade|M|1793|1865|1793–1865|Parsed from source|MP, Philanthropost|Palmerstonians/conservatives||||||https://www.natwestgroup.com/heritage/people/benjamin-heywood.html
200103|Absalom Watkin|press|M|1787|1861|1787–1861|Parsed from source|Parliamentary Reformer|Politics|Married|Unknown|1820s–1860s|Manchester|Member of the Little Circle; supported parliamentary reform; financial backer of the Manchester Guardian .|https://watkinsociety.org.uk/absalom-watkin.html
200098|Susannah Marlaw|arts|F|1815|1848|c.1815–1848 (approx.)|Approximate|Performer|Circus, Performing Arts|Wife of Pablo Fanque; tragically died when a circus stand collapsed during a show|||||https://archives.shef.ac.uk/agents/people/299
200094|Margaret Elizabeth Bright|suff|F|1818|1890|1818–1890|Parsed from source|Philanthropist|Women's Rights, Quaker|Second wife of John Bright; sister to Jacob Bright and active in women's education|||||https://en.wikipedia.org/wiki/John_Bright
200096|Mary Louisa Whitworth|civic|F|1823|1896|1823–1896 (approx.)|Approximate|Philanthropist|Engineering Legacy, Public Works|Second wife of Joseph Whitworth; inherited and continued charitable work after his death|||||https://archiveshub.jisc.ac.uk/data/gb133-wag
200065|Robert Rose|arts|M|||Unknown|Unknown|Poet|Born in the West Indies and lived in Salford|||1840s|Manchester, Salford|Vice Chair of the "Poets Corner", a leading literary building|https://library.chethams.com/blog/robert-rose-the-bard-of-colour/
200085|Eva Gore-Booth|suff|F|1870|1926|1870–1926|Parsed from source|Poet, Suffragist|Literary, LGBTQ+ History||Suffrage & Labour networks|1890s–1910s|Manchester|Partner of Esther Roper; campaigned for women's and workers' rights|https://en.wikipedia.org/wiki/Eva_Gore-Booth
200036|Robert Peel|civic|M|1788|1850|1788–1850|Parsed from source|Police||Husband of Julia Floyd|||Salford||https://en.wikipedia.org/wiki/Robert_Peel
200070|Jerome Caminada|civic|M|1844|1914|1844–1914|Parsed from source|Police Officer|Dubbed as Manchester's Sherlock Holmes|Husband of Mary Ellen Walsh||1860, 70, 80|Hulme, Moss Side|Led police raid on a cross-dressing ball in Hulme|https://en.wikipedia.org/wiki/Jerome_Caminada
200077|Margaret Ashton|suff|F|1856|1937|1856–1937|Parsed from source|Politician|First woman City Councillor for Manchester|||1890, 1900s, 1910s|Withington, Manchester|Pacifist - split from Suffragette movement before WW1|http://www.bbc.co.uk/manchester/content/articles/2006/07/04/040706_margaret_ashton_feature.shtml
200107|Joseph Brotherton|reform|M|1783|1857|1783–1857|Parsed from source|Preacher, MP|Religion/Politics|Married; husband of Martha Harvey|Martha Harvey|1820s–1850s|Manchester; Salford|Member of the Little Circle; supported social reforms; financial backer of the Manchester Guardian .|https://en.wikipedia.org/wiki/Joseph_Brotherton
200052|Richard Lane|civic|M|1795|1880|1795–1880|Parsed from source|Redesign of Esplanade outside MRI|||||||https://en.wikipedia.org/wiki/Richard_Lane_%28architect%29
200014|John Shuttleworth|press|M|1786|1864|1786–1864|Parsed from source|Refomer, Industrialist|Free Trade/Liberals||||||https://pure.manchester.ac.uk/ws/portalfiles/portal/86863970/FULL_TEXT.PDF
200015|Absalom Watkin|press|M|1787|1861|1787–1861|Parsed from source|Reformer|Free Trade/Liberals||||||https://watkinsociety.org.uk/absalom-watkin.html
200001|Mary Fildes|reform|F|1789|1876|c.1789–1876|Approximate|Reformer|Irish-born President of Manchester Female Reform Society|||1810, 20, 30, 40|Chorlton, Stockport|Leading roll in Peterloo Massacre|https://en.wikipedia.org/wiki/Mary_Fildes
200080|James Peters|arts|M|1879|1954|1879–1954|Parsed from source|Rugby Player|First black man to play rugby union for England|||1900s|Salford|Remained only black rugby union player until 1988|https://www.theguardian.com/sport/2018/dec/26/jimmy-peters-race-pioneer-english-rugby-circus-big-top
200067|Agnes Foster|reform|F|||Unknown|Unknown|Salvationist|Co-Founder of the Jamacian Salvation Army but lived in Manchester|||1850, 60, 70, 80|Eccles|Became a soldier in the Eccles corps|https://www.africansinyorkshireproject.com/agnes-foster.html
200068|Lydia Becker|nat|F|1827|1890|1827–1890|Parsed from source|Scientist & Suffragette|Early leader in suffrage movement||Manchester National Society for Women’s Suffrage|1860, 70, 80, 90|Manchester|Founder of women’s suffrage society; edited Women's Suffrage Journal|https://www.darwinproject.ac.uk/lydia-becker
200019|Daniel Adamson|trade|M|1820|1890|1820–1890|Parsed from source|Ship Canal engineer|Palmerstonians/conservatives||||||https://en.wikipedia.org/wiki/Daniel_Adamson
200035|Engels|reform|M|1820|1895|1820–1895|Parsed from source|Socialism||Unmarried|||Manchester, Salford||https://en.wikipedia.org/wiki/Friedrich_Engels
200034|Karl Marx|reform|M|1818|1883|1818–1883|Parsed from source|Socialism||Husband of Jenny von Westphalen|||Manchester, Salford||https://en.wikipedia.org/wiki/Karl_Marx
