# What is still open, and what would close it. Every thread here comes from something
# already in the collection - a flag, an unconfirmed link, a record nobody can identify,
# a conflict between sources - rather than from a wish list.
# Records are ids from the collection; sources are names from resources.psv. Either may
# be empty, and a thread with neither is a question with nowhere yet to take it.
# id|title|what is not known|what would settle it|records|sources
#
R1|Where the local plants actually are|The collection treats the Manchester Museum herbarium as where Manchester's botany ended up. Its Head of Botany says the herbarium holds little from Greater Manchester. Of 1,499 digitised specimens collected here between 1750 and 1935, 950 are at the Natural History Museum in London and ten at Manchester.|Ask each institution what it holds from Greater Manchester that is not yet digitised. The digitised figures are a floor, not a count: they measure what has been photographed as much as what exists.|PL-NH-016;PL-OLDHAM;PL-BOLTON;PL-TAMESIDE|Manchester Museum collections;Gallery Oldham;Bolton Museum and Art Gallery;Tameside museums and galleries;Natural History Museum
R2|Which of these people left specimens|Five people here appear as collectors on digitised sheets: Bailey, Sidebotham, Grindon, Britten and Nowell. For everyone else nobody has looked. A collector's name on a sheet is the hardest evidence this project can get, and it is sitting in a public database.|Search GBIF and the NBN Atlas for every name in the collection, and record the match, or its absence, on the record itself.|NH-009;NH-004;VM-ADD-011;GH-BRITTEN;NH-012;COL-001|GBIF;NBN Atlas;Index Herbariorum
R3|The seven collectors just added|Seven collectors were added because GBIF shows them working this ground. Only their names and dates are known here. What they collected, who they knew, and which societies they belonged to is not.|Index Herbariorum for where each herbarium ended up; the societies' own published transactions for membership and office.|GB-HUNT;GB-WHITEHEAD;GB-ROGERS;GB-WILD;GB-LEWIS;GB-JBWOOD;GB-WHELDON|Index Herbariorum;GBIF;Manchester Museum collections
R4|The Manchester moth, and who got the credit|The specimen passes from Robert Cribb to R. Wood to John Curtis, who named it. The collection says the attribution was later disputed, marks both links as unconfirmed, and records no version of the dispute.|The type specimen and its label, and the entomological literature of the 1830s. The Natural History Museum holds most of the region's digitised insects.|NH-006;NH-007;GH-CURTIS;COL-007|Natural History Museum;GBIF
R5|Three women nobody can name|Anne Robertson spoke at Manchester's first public suffrage meeting in 1868. Frances Ashwell was at the founding of the Women's Trades Council in 1895. A Mrs Broadhurst helped found the Female Political Union in 1833 and is recorded only by her husband's surname.|Minute books and local press reports of those three meetings. These are the records where women who were present but not prominent tend to survive.|GH-ROBERTSON;GH-ASHWELL;GH-BROADHURST|Working Class Movement Library
R6|Whether Florence Nightingale came to Salford|The Places sheet names her as a visitor to Salford Workhouse. Nothing else in the collection supports it, and that visit is the only thing putting her in Manchester at all.|Her correspondence, and the workhouse guardians' minutes. If it does not stand up she should come out, and the record says so.|GH-NIGHTINGALE;PL-BASE-010|Working Class Movement Library
R7|John Leigh Philips's dates|A University page gives 1761-1841. The Museum archive and the scholarship give 1761-1814. His active span moves by twenty-seven years depending which is right, and he sits at the start of the whole story.|A probate or burial record. One document settles it.|NH-005|Manchester Museum collections
R8|The Philips family|Mark Philips, Robert Philips, Sir George Philips and John Leigh Philips are spelled inconsistently across the records, and how they are related is only partly set down. Philips Park is named for one of them.|A family tree from probate and parish records. The Guardian's own research already traces part of it, because the same family financed the paper.|200033;VM-ADD-003;200101;NH-005|Guardian: Cotton Capital
R9|Where the Guardian's money came from|Eight merchants are named in the original loan agreement and their records describe cotton money, much of it slave-grown. Who put in what, and in what proportion, is not in the collection.|The loan agreement itself, and the Scott Trust's published research into it.|COL-009;COL-003;VM-ADD-007;VM-ADD-008;200100|Guardian: Cotton Capital
R10|Three phrases that name nobody|"Active in reform circles", "working-class women's care" and "Unitarian women" sit in connection columns. Each names a milieu rather than a person, so no line is drawn and the records they sit on connect to nothing through them.|Deciding, for each, whether it is a group worth making a record of - as "artisan botanists" already is - or prose that should be left as prose.|COL-005;COL-001|
