# Where to look next. These are research tools and collections, not people or places in
# the network, so they are listed rather than drawn.
# name|url|what it is
Manchester Museum collections|https://museumcollections.manchester.ac.uk/|Search the museum's own catalogue. Filter to Botany and to Greater Manchester to see how little of the herbarium is local.
Index Herbariorum|https://sweetgum.nybg.org/science/ih/|The worldwide register of herbaria, kept by New York Botanical Garden. Names of major collectors and what they specialised in can be read off it.
GBIF|https://www.gbif.org/|The global biodiversity aggregator. Limit a search by place, by date and to preserved specimens to find digitised sheets and see who collected them.
NBN Atlas|https://nbnatlas.org/|The UK aggregator that feeds GBIF, and often the quicker route to British records.
Gallery Oldham|https://hla.oldham.gov.uk/gallery/collections/|Holds a natural-history collection that matters for Greater Manchester in a way Manchester Museum's does not.
Bolton Museum and Art Gallery|https://www.boltonlams.co.uk/collections|The same: a local collection with local material in it.
Tameside museums and galleries|https://www.tameside.gov.uk/librariesandleisure/museumsandgalleries/museums-and-galleries-collections-overview#nat|Ashton, Stalybridge, Hyde and Dukinfield. Said to have interesting people in it.
Natural History Museum|https://data.nhm.ac.uk/|Holds 950 of the 1,499 digitised specimens collected in Greater Manchester between 1750 and 1935 - far more than any Manchester institution.
Working Class Movement Library|https://www.wcml.org.uk/|Salford. Minute books and press cuttings for the suffrage and labour organisations, which is where the unnamed women would be found if anywhere.
Guardian: Cotton Capital|https://www.theguardian.com/news/series/cotton-capital|The paper's own research into its founders' money, including the original loan agreement that names the merchants.
