id,year,event,field,key_figures,organisation,place,theme,research_status,scope,links,source_url,open_question
TL-NH-001,c.1770s-1790s,Early artisan botanical societies and rotating meetings develop around Manchester and Lancashire.,nat,John Crowther and early artisan botanists,Manchester Society of Botanists / informal botanist network,Eccles; Ashton; Oldham; Middleton and others,Collective knowledge-making,Needs checking,Pre-Victorian context,3,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html,Establish dates and organisational names without over-formalising the network.
TL-NH-002,1808,John Horsefield participates in a loose Manchester botanists' network.,nat,John Horsefield,Manchester Society of Botanists / informal botanist network,Manchester area,Artisan science,Needs checking,Pre-Victorian context,2,https://historicengland.org.uk/listing/the-list/list-entry/1406283,Capture how knowledge circulated before formal societies.
TL-WOM-007,16 August 1819,Peterloo Massacre: pro-democracy rally advocating parliamentary reform.,reform,Mary Fildes,,St. Peter's Field (now St. Peter's Square),Women's political / civic history,Existing workbook,Original women's timeline,2,,Mary Fildes led the female reformers' contingent; the peaceful protest turned tragic when cavalry charged the crowd.
TL-NH-003,11 September 1820,Prestwich Botanical Society founded.,nat,John Horsefield,Prestwich Botanical Society,Prestwich / Whitefield,Mutual education; artisan botany,Researched addition,Core,3,https://historicengland.org.uk/listing/the-list/list-entry/1406283,Add founding members and meeting venue.
TL-NH-004,1821,Manchester Society for the Promotion of Natural History formed around private natural-history collections.,nat,John Leigh Philips and subscribers,Manchester Society for the Promotion of Natural History,Manchester,Museum formation; collecting,Researched addition,Core,2,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/,Identify who financed the purchase and governance.
TL-NH-005,1826,Richard Buxton meets John Horsefield while botanising on Kersal Moor.,nat,Richard Buxton; John Horsefield,Prestwich Botanical Society,Kersal Moor,Mentoring; network formation,Researched addition,Core,4,https://historicengland.org.uk/listing/the-list/list-entry/1406283,Verify source and what changed for Buxton after the meeting.
TL-NH-006,1829,Robert Cribb finds the Manchester moth at Kersal Moor; attribution later becomes disputed.,nat,Robert Cribb; R. Wood; John Curtis,,Kersal Moor,Discovery; disputed credit,Researched addition,Core,4,https://www.museum.manchester.ac.uk/collections/entomology,Preserve competing accounts and the chain of specimen transfer.
TL-NH-007,1830,John Horsefield becomes president of the wider regional botanical meetings.,nat,John Horsefield,United Lancashire botanical societies,North Manchester / Lancashire,Federation; leadership,Needs checking,Core,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html,Clarify whether president applied to a formal organisation or a meeting network.
TL-BASE-001,1832,Reform Act passed; working-class agitation grows in Manchester.,reform,,,Manchester,Political context,Existing workbook,Context,1,,Connect only where evidence shows naturalists' political participation.
TL-WOM-008,1833,Formation of the Female Political Union of the Working Classes.,reform,Mary Fildes; Mrs Broadhurst,,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,2,,Established to involve working-class women in political discourse and broader social reform.
TL-NH-008,1835,Natural History Society museum opens on Peter Street.,nat,Society members and donors,Manchester Natural History Society,Peter Street Natural History Museum,Museum; public knowledge,Researched addition,Core,3,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/,"Add visitor access, admission model and collection organisation."
TL-BASE-002,1838,Manchester Corporation founded; start of modern local government.,civic,,Manchester Corporation,Manchester,Civic government,Existing workbook,Context,1,,Explore later links between civic institutions and museum support.
TL-WOM-014,1846,Opening of Peel Park.,civic,,,Salford,Women's political / civic history,Existing workbook,Original women's timeline,1,,Celebrated as a major social-reform achievement; provided green space for public recreation.
TL-BASE-003,1847,Manchester Diocese established.,civic,,Manchester Diocese,Manchester,Religious authority,Existing workbook,Context,1,,Check clergy participation in natural history.
TL-NH-009,1849,Richard Buxton publishes A Botanical Guide to plants within sixteen miles of Manchester.,nat,Richard Buxton,,Manchester,Publication; local knowledge,Researched addition,Core,1,https://journals.sagepub.com/doi/10.1177/007327539403200302,"Record subscribers, supporters and information contributors."
TL-BASE-004,1850,Elizabeth Gaskell's house completed at 84 Plymouth Grove.,arts,Elizabeth Gaskell,,Elizabeth Gaskell's House (84 Plymouth Grove),Literary / civic context,Existing workbook,Context,2,,Potential cross-network salon links.
TL-WOM-015,1850,Inauguration of Salford Museum and Art Gallery.,civic,,,Salford,Women's political / civic history,Existing workbook,Original women's timeline,1,,"Marked the establishment of the UK's first free public library, promoting education and culture."
TL-NH-010,1858,First Manchester Microscopical Society formed.,nat,Thomas Brittain and others,Manchester Microscopical Society,Manchester,Microscopy; instruments,Researched addition,Core,2,https://www.manchestermicroscopical.org.uk/mmshist.html,Distinguish from the society refounded in 1880.
TL-NH-011,1859,Leo Grindon publishes Manchester Flora.,nat,Leo H. Grindon,,Manchester and eighteen-mile radius,Publication; public botany,Researched addition,Core,2,https://www.gutenberg.org/cache/epub/47578/pg47578-images.html,Map locations and named informants in the flora.
TL-NH-012,1860,Manchester Field-Naturalists' Society founded.,nat,Leo H. Grindon; Joseph Sidebotham,Manchester Field-Naturalists' Society,Manchester,Field science; adult education,Researched addition,Core,3,https://lib-archives.ex.ac.uk/Record.aspx?id=EUL+MS+277&src=CalmView.Catalog,Add first excursion and officer list.
TL-BASE-005,1863,Union and Emancipation Society founded.,reform,,Union and Emancipation Society,Manchester,Anti-slavery,Existing workbook,Context,1,,Trace overlapping memberships if evidenced.
TL-NH-013,1864,Lydia Becker wins a gold medal in a botanical competition for herbarium specimens.,nat,Lydia Becker,,Manchester,Women in science; collecting,Researched addition,Core,1,https://www.museum.manchester.ac.uk/collections/botany,"Identify organiser, venue, judging and relationship to her later campaigning."
TL-WOM-009,2 December 1865,Inauguration of the Manchester Schoolmistresses Association.,suff,Elizabeth Wolstenholme; Anne Clough,Manchester Schoolmistresses Association,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,3,,Supported women teachers and influenced the North of England Council for Promoting the Higher Education of Women.
TL-WOM-010,October 1866,Emily Davies addresses the Manchester Schoolmistresses Board on women's higher education.,suff,Emily Davies,Manchester Schoolmistresses Association,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,2,,Advocated for women's access to university-level education and academic standards equivalent to men's institutions.
TL-WOM-001,January 1867,Formation of the Manchester Society for Women's Suffrage.,suff,Lydia Becker; Elizabeth Wolstenholme; Ursula Mellor Bright; Jacob Bright; Richard Pankhurst,Manchester National Society for Women's Suffrage,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,6,,The society aimed to obtain the same voting rights for women as those granted to men. It later became the Manchester National Society for Women's Suffrage.
TL-BASE-006,1867,Manchester National Society for Women's Suffrage founded.,suff,Lydia Becker and others,Manchester National Society for Women's Suffrage,Manchester,Women's suffrage,Existing workbook,Cross-theme,2,,Use Becker to connect scientific and political networks.
TL-WOM-002,14 April 1868,First public meeting of the Manchester National Society for Women's Suffrage.,suff,Lydia Becker; Agnes Pochin; Anne Robertson; Priscilla Bright McLaren,Manchester National Society for Women's Suffrage,Free Trade Hall,Women's political / civic history,Existing workbook,Original women's timeline,6,,A milestone in the suffrage campaign featuring rare public speeches by women.
TL-WOM-003,30 October 1868,Establishment of a new executive committee for the Manchester National Society for Women's Suffrage.,suff,Lydia Becker; Elizabeth Wolstenholme; Ursula Mellor Bright; Jacob Bright; Josephine Butler,Manchester National Society for Women's Suffrage,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,6,,Restructuring intended to strengthen the society's advocacy for women's suffrage.
TL-WOM-016,1868,Agnes Pochin's advocacy for women's suffrage.,suff,Agnes Pochin,,Free Trade Hall,Women's political / civic history,Existing workbook,Original women's timeline,2,,"Delivered a speech at the Free Trade Hall; her husband, then Mayor of Salford, chaired the meeting."
TL-BASE-007,1869,Cross Street Chapel rebuilt.,civic,,Cross Street Chapel,Cross Street Chapel,Religion; reform,Existing workbook,Context,1,,Check Unitarian natural-history participation.
TL-WOM-004,1870,Founding of the Women's Suffrage Journal.,suff,Lydia Becker,,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,1,,"A central platform for the suffrage movement, disseminating information and rallying support."
TL-BASE-008,1874,Ancoats Dispensary rebuilt as a key medical-aid site.,civic,,Ancoats Dispensary,Ancoats Dispensary,Health; reform,Existing workbook,Context,1,,Potential connection through doctors and naturalists.
TL-BASE-009,1877,Manchester Town Hall and Co-operative Wholesale Society HQ completed.,civic,,Manchester Corporation,Manchester Town Hall,Civic institutions,Existing workbook,Context,2,,
TL-NH-014,1880,Manchester Microscopical Society refounded on a broader basis.,nat,Society founders and members,Manchester Microscopical Society,Manchester,Microscopy; widening access,Researched addition,Core,2,https://www.manchestermicroscopical.org.uk/mmshist.html,Add membership occupations and instrument suppliers.
TL-NH-015,1888,Manchester Museum opens to the public in the Owens College complex.,nat,Museum staff; donors; collectors,Owens College / Manchester Museum natural-history structures,"Manchester Museum, Oxford Road",Museum; public science,Researched addition,Core,2,https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/,"Distinguish institutional transfer, building completion and public opening dates."
TL-WOM-005,1893,Appointment of Esther Roper as secretary of the Manchester National Society for Women's Suffrage.,suff,Esther Roper,Manchester National Society for Women's Suffrage,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,2,,Roper focused on recruiting working-class women and integrating trade-union efforts.
TL-WOM-011,1894,Emmeline Pankhurst elected as Poor Law Guardian for Chorlton-on-Medlock.,suff,Emmeline Pankhurst,Chorlton-on-Medlock Board of Guardians,Manchester,Women's political / civic history,Existing workbook,Original women's timeline,2,,"She witnessed the dire conditions of the poor, particularly women, influencing her subsequent activism."
TL-BASE-010,1894,Manchester Ship Canal opens.,trade,,Manchester Ship Canal,Manchester Ship Canal,Infrastructure,Existing workbook,Context,1,,Consider impacts on habitats and collecting landscapes.
